collected_at,media_id,timestamp,permalink,caption_snippet,reach,saved,likes,comments,shares,followers_count_snapshot
2026-08-09T21:36:49.941618+00:00,17867063163650129,2026-08-09T15:45:57+0000,https://www.instagram.com/p/Db0ysl1kcKu/,あなたの体質タイプ、知っていますか? 漢方では体質を大きく「気虚・血虚・瘀血・水滞」の4タイプに分け,0,0,0,0,0,0
2026-08-09T21:36:49.941618+00:00,17927313423388927,2026-08-09T15:45:22+0000,https://www.instagram.com/p/Db0yoZYkWmg/,"漢方って、結局なんなの?って思ったことありませんか?😳 実は「病気を治す薬」じゃなくて、""体を整える",0,0,0,0,0,0
2026-08-10T21:46:43.045681+00:00,18120717610845879,2026-08-10T11:21:01+0000,https://www.instagram.com/p/Db25LDZFTMT/,「二十四節気」って聞いたことありますか? 1年を24等分して、季節の移り変わりを細かく表した暦のこと,0,0,0,0,0,0
2026-08-12T21:51:30.934714+00:00,18080144789316330,2026-08-12T11:30:25+0000,https://www.instagram.com/p/Db8D1q6lUXv/,白湯を飲むだけ、それだけで体が変わるって本当?と思ったことありませんか? 白湯は内臓をやさしく温め、,0,0,0,0,0,1
2026-08-13T21:51:00.689869+00:00,18376427581226290,2026-08-13T11:30:08+0000,https://www.instagram.com/p/Db-omwgFUsc/,"「気滞」という言葉、聞いたことありますか? 気滞とは、""気""の巡りが滞ってしまっている状態のこと。 ",0,0,0,0,0,1
2026-08-14T21:28:23.575697+00:00,18112532708050680,2026-08-14T11:27:04+0000,https://www.instagram.com/p/DcBNDI5idCc/,東洋医学と西洋医学、何が違うか説明できますか?🤔 実は「見ているところ」がそもそも違うんです。 西洋,0,0,0,0,0,1
2026-08-15T21:24:55.847417+00:00,18116751883842058,2026-08-15T11:13:22+0000,https://www.instagram.com/p/DcDwRX7G4T0/,「未病」って言葉、聞いたことありますか? 病気ではないけど、健康でもない…そんなグレーゾーンの状態の,0,0,0,0,0,1
2026-08-16T21:24:17.817040+00:00,18126394300776493,2026-08-16T11:14:08+0000,https://www.instagram.com/p/DcGVKVLjF7I/,立春、実は「春の不調」が始まるタイミングだって知っていましたか? 漢方で春は「気」が乱れやすく、体も,0,0,0,0,0,1
2026-08-17T21:29:05.008470+00:00,18041490608814292,2026-08-17T11:19:11+0000,https://www.instagram.com/p/DcI6iQwlkb9/,実は漢方にも、「香りで整える」という考え方があるって知っていましたか? 漢方では香りも、気を巡らせる,0,0,0,0,0,1
2026-08-18T21:28:29.292005+00:00,18100401419357045,2026-08-18T11:18:54+0000,https://www.instagram.com/p/DcLfSpMoHVg/,「瘀血(おけつ)」、読み方からして難しいですよね。 瘀血とは、血の巡りが滞ってしまっている状態のこと,1,0,1,0,0,1
2026-08-19T21:29:13.861526+00:00,18362312917243619,2026-08-19T11:19:34+0000,https://www.instagram.com/p/DcOEKPdFuTy/,漢方って、実はいつから日本にあるか知ってますか? 起源は古代中国。日本に伝わったのは飛鳥〜奈良時代と,0,0,0,0,0,1
2026-08-20T21:31:44.748547+00:00,18074371820451863,2026-08-20T11:20:56+0000,https://www.instagram.com/p/DcQpHQIG2jk/,実は、舌を見るだけで体調がわかるって知っていましたか? 漢方には「舌診」という、舌の色や形から体の状,0,0,0,0,0,1
